epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.466,0.99879,4.05232,0.01881,0.74118,0.74578,0.79432,0.48895,1.06754,4.54161,0.0313,0.000663317,0.000663317,0.000663317
2,512.441,1.23514,2.45126,0.02373,0.69244,0.61997,0.67537,0.38024,1.29585,2.38837,0.03994,0.00132868,0.00132868,0.00132868
3,768.188,1.38105,1.87776,0.027,0.65187,0.60182,0.63169,0.32802,1.51984,1.76063,0.04922,0.00198886,0.00198886,0.00198886
4,1046.82,1.37648,1.66551,0.02727,0.7088,0.63424,0.70909,0.36336,1.53691,1.47601,0.04959,0.00198246,0.00198246,0.00198246
5,1303.66,1.38321,1.61726,0.02682,0.68495,0.65419,0.7038,0.39393,1.42642,1.48023,0.04389,0.0019689,0.0019689,0.0019689
6,1550.63,1.34655,1.50779,0.02621,0.80336,0.67297,0.76222,0.45972,1.3308,1.24704,0.04057,0.00195155,0.00195155,0.00195155
7,1798.93,1.3274,1.45929,0.02606,0.82906,0.72341,0.81516,0.5051,1.24628,1.11933,0.03827,0.00193048,0.00193048,0.00193048
8,2055.58,1.30819,1.39943,0.0255,0.81506,0.74882,0.83939,0.53419,1.17413,0.9984,0.0347,0.00190578,0.00190578,0.00190578
9,2799.9,1.28437,1.37061,0.02485,0.75896,0.76369,0.81194,0.5053,1.23961,1.04628,0.03782,0.00187754,0.00187754,0.00187754
10,4257.44,1.27281,1.32803,0.02503,0.8517,0.81193,0.86953,0.58486,1.14107,0.80576,0.03434,0.00184588,0.00184588,0.00184588
11,4515.25,1.24305,1.29797,0.02363,0.80302,0.77724,0.83957,0.54992,1.13018,0.94003,0.03434,0.00181093,0.00181093,0.00181093
12,4774.31,1.22692,1.26507,0.02324,0.86277,0.75836,0.84293,0.55186,1.18408,0.94388,0.03552,0.00177281,0.00177281,0.00177281
13,5030.73,1.23427,1.27323,0.02364,0.83061,0.82046,0.88128,0.58918,1.11985,0.77991,0.03321,0.00173168,0.00173168,0.00173168
14,5284.65,1.20964,1.20887,0.02355,0.86567,0.81074,0.87639,0.61219,1.02892,0.77719,0.03005,0.0016877,0.0016877,0.0016877
15,5539.6,1.20721,1.19633,0.02301,0.86467,0.82231,0.88928,0.62193,1.08348,0.73074,0.03241,0.00164105,0.00164105,0.00164105
16,5793.24,1.1698,1.17072,0.02261,0.89077,0.80804,0.8911,0.61171,1.09226,0.73995,0.03338,0.00159191,0.00159191,0.00159191
17,6049.7,1.15654,1.13759,0.02204,0.87575,0.85933,0.90529,0.66332,0.94802,0.68117,0.0273,0.00154047,0.00154047,0.00154047
18,6305.12,1.1463,1.13658,0.02164,0.89473,0.81581,0.90293,0.65298,0.97866,0.70175,0.02832,0.00148694,0.00148694,0.00148694
